location_name,state,latitude,longitude,metric,target_year,baseline_start_year,baseline_end_year,target_value,baseline_avg_value,delta_value,status
New York,New York,40.71427,-74.00597,days_above_90f,2015,2011,2020,5,8.1,-3.0999999999999996,completed
New York,New York,40.71427,-74.00597,days_below_32f,2015,2011,2020,91,89.9,1.0999999999999943,completed
New York,New York,40.71427,-74.00597,days_above_90f,2016,2011,2020,9,8.1,0.9000000000000004,completed
New York,New York,40.71427,-74.00597,days_below_32f,2016,2011,2020,87,89.9,-2.9000000000000057,completed
New York,New York,40.71427,-74.00597,days_above_90f,2017,2011,2020,5,8.1,-3.0999999999999996,completed
New York,New York,40.71427,-74.00597,days_below_32f,2017,2011,2020,81,89.9,-8.900000000000006,completed
New York,New York,40.71427,-74.00597,days_above_90f,2018,2011,2020,5,8.1,-3.0999999999999996,completed
New York,New York,40.71427,-74.00597,days_below_32f,2018,2011,2020,97,89.9,7.099999999999994,completed
New York,New York,40.71427,-74.00597,days_above_90f,2019,2011,2020,5,8.1,-3.0999999999999996,completed
New York,New York,40.71427,-74.00597,days_below_32f,2019,2011,2020,106,89.9,16.099999999999994,completed
New York,New York,40.71427,-74.00597,days_above_90f,2020,2011,2020,11,8.1,2.9000000000000004,completed
New York,New York,40.71427,-74.00597,days_below_32f,2020,2011,2020,67,89.9,-22.900000000000006,completed
New York,New York,40.71427,-74.00597,days_above_90f,2021,2011,2020,9,8.1,0.9000000000000004,completed
New York,New York,40.71427,-74.00597,days_below_32f,2021,2011,2020,82,89.9,-7.900000000000006,completed
New York,New York,40.71427,-74.00597,days_above_90f,2022,2011,2020,20,8.1,11.9,completed
New York,New York,40.71427,-74.00597,days_below_32f,2022,2011,2020,87,89.9,-2.9000000000000057,completed
New York,New York,40.71427,-74.00597,days_above_90f,2023,2011,2020,8,8.1,-0.09999999999999964,completed
New York,New York,40.71427,-74.00597,days_below_32f,2023,2011,2020,75,89.9,-14.900000000000006,completed
New York,New York,40.71427,-74.00597,days_above_90f,2024,2011,2020,18,8.1,9.9,completed
New York,New York,40.71427,-74.00597,days_below_32f,2024,2011,2020,74,89.9,-15.900000000000006,completed
Los Angeles,California,34.05223,-118.24368,days_above_90f,2015,2011,2020,69,53.3,15.700000000000003,completed
Los Angeles,California,34.05223,-118.24368,days_below_32f,2015,2011,2020,1,0.6,0.4,completed
Los Angeles,California,34.05223,-118.24368,days_above_90f,2016,2011,2020,63,53.3,9.700000000000003,completed
Los Angeles,California,34.05223,-118.24368,days_below_32f,2016,2011,2020,0,0.6,-0.6,completed
Los Angeles,California,34.05223,-118.24368,days_above_90f,2017,2011,2020,46,53.3,-7.299999999999997,completed
Los Angeles,California,34.05223,-118.24368,days_below_32f,2017,2011,2020,0,0.6,-0.6,completed
Los Angeles,California,34.05223,-118.24368,days_above_90f,2018,2011,2020,35,53.3,-18.299999999999997,completed
Los Angeles,California,34.05223,-118.24368,days_below_32f,2018,2011,2020,0,0.6,-0.6,completed
Los Angeles,California,34.05223,-118.24368,days_above_90f,2019,2011,2020,40,53.3,-13.299999999999997,completed
Los Angeles,California,34.05223,-118.24368,days_below_32f,2019,2011,2020,0,0.6,-0.6,completed
Los Angeles,California,34.05223,-118.24368,days_above_90f,2020,2011,2020,67,53.3,13.700000000000003,completed
Los Angeles,California,34.05223,-118.24368,days_below_32f,2020,2011,2020,0,0.6,-0.6,completed
